# Summary generated on 2023-06-16 05:42:30.088691 UTC
#  Unique trajectory;      Beginning      ;        Beginning          ;   IAU;  IAU;   Sol lon ;   App LST ;   RAgeo  ;   +/-  ;   DECgeo ;   +/-  ;  LAMgeo  ;   +/-  ;   BETgeo ;   +/-  ;    Vgeo  ;    +/- ;  LAMhel  ;   +/-  ;   BEThel ;   +/-  ;    Vhel  ;    +/- ;       a    ;   +/-  ;      e    ;   +/-  ;      i    ;   +/-  ;    peri   ;    +/-  ;    node   ;    +/-  ;     Pi    ;   +/-  ;      b    ;   +/-  ;      q    ;   +/-  ;      f    ;   +/-  ;      M    ;   +/-  ;       Q    ;   +/-  ;      n    ;   +/-  ;      T    ;   +/-  ; TisserandJ;   +/-  ;   RAapp  ;   +/-  ;   DECapp ;   +/-  ;  Azim +E ;   +/-  ;    Elev  ;   +/-  ;   Vinit  ;    +/- ;    Vavg  ;    +/- ;    LatBeg   ;   +/-  ;    LonBeg   ;   +/-  ;   HtBeg ;   +/-  ;    LatEnd   ;   +/-  ;    LonEnd   ;   +/-  ;   HtEnd ;   +/-  ; Duration;  Peak ;  Peak Ht;   F  ;  Mass kg;   Qc ; MedianFitErr; Beg in; End in;  Num;      Participating    
#      identifier   ;     Julian date     ;         UTC Time          ;    No; code;     deg   ;     deg   ;    deg   ;  sigma ;    deg   ;  sigma ;    deg   ;  sigma ;     deg  ;  sigma ;    km/s  ;   sigma;    deg   ;  sigma ;     deg  ;  sigma ;    km/s  ;   sigma;      AU    ;  sigma ;           ;  sigma ;    deg    ;  sigma ;     deg   ;   sigma ;     deg   ;   sigma ;    deg    ;  sigma ;    deg    ;  sigma ;     AU    ;  sigma ;    deg    ;  sigma ;     deg   ;  sigma ;      AU    ;  sigma ;   deg/day ;  sigma ;    years  ;  sigma ;           ;  sigma ;    deg   ;  sigma ;    deg   ;  sigma ; of N  deg;  sigma ;     deg  ;  sigma ;    km/s  ;   sigma;    km/s  ;   sigma;    +N deg   ;  sigma ;    +E deg   ;  sigma ;     km  ;  sigma ;    +N deg   ;  sigma ;    +E deg   ;  sigma ;     km  ;  sigma ;   sec   ; AbsMag;     km  ; param; tau=0.7%;  deg ;    arcsec   ;   FOV ;   FOV ; stat;         stations      
# ------------------; --------------------; --------------------------; -----; ----; ----------; ----------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; -----------; -------; ----------; -------; ----------; -------; ----------; --------; ----------; --------; ----------; -------; ----------; -------; ----------; -------; ----------; -------; ----------; -------; -----------; -------; ----------; -------; ----------; -------; ----------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ------------; -------; ------------; -------; --------; -------; ------------; -------; ------------; -------; --------; -------; --------; ------; --------; -----; --------; -----; ------------; ------; ------; ----; ----------------------
20181214074510_63ltF; 2458466.823033827823; 2018-12-14 07:45:10.122724;    -1;  ...; 262.001865;  91.811376; 117.07071;  1.3039; +33.34149;  0.4757; 112.87494;  1.0275; +12.02848;  0.6479;  32.83145;  0.4213;  55.59483;  0.1179; +12.45173;  0.7490;  31.72905;  0.6956;    1.114979;  0.0873;   0.876421;  0.0057;  26.406813;  1.4087; 327.284640;   1.1161; 261.998204;   0.0003; 229.282843;  1.1164; -13.908244;    None;   0.137788;  0.0026; 212.719888;  1.1163; 327.444240;  2.8817;    2.092170;  0.1723;   0.837152;  0.0682;   1.177337;  0.1498;   5.066859;  0.2631; 117.40467;  1.2616; +33.23465;  0.4603;  85.80908;  2.1480;  68.75903;  0.9393;  34.79653;  0.4002;  33.82133;  0.4014;    34.371801;  0.0007;  -107.424723;  0.0007;  94.8308;    0.11;    34.368932;  0.0008;  -107.471790;  0.0010;  83.5372;    0.13;     0.44;  +0.11;  89.6887; 0.455; 8.98e-05; 10.05;        36.38;   True;   True;    2; US0002,US0009
20181214074536_YW66H; 2458466.823334538843; 2018-12-14 07:45:36.104156;    -1;  ...; 262.002169;  92.040737; 160.05114;  0.5206; +32.99801;  0.0764; 148.70947;  0.4647; +22.69721;  0.1073;  63.44995;  0.0395; 127.21337;  0.7083; +36.46799;  0.3080;  41.18991;  0.1419;    8.387379;  1.5347;   0.921933;  0.0093; 133.836777;  0.0527; 252.427283;   0.9289; 262.004505;   0.0000; 154.431787;  0.9289; -43.444789;    None;   0.654780;  0.0092; 287.575505;  0.9289; 358.468730;  0.2289;   16.119978;  3.0780;   0.040576;  0.0060;  24.290701;  7.6371;  -0.060679;  0.0654; 159.97229;  0.5126; +32.89013;  0.0739;  70.88253;  0.1105;  34.55163;  0.4283;  64.71534;  0.0389;  64.36687;  0.0304;    34.408058;  0.0004;  -107.293280;  0.0005; 111.7396;    0.10;    34.338353;  0.0004;  -107.534914;  0.0007;  95.3359;    0.09;     0.45;  -0.66; 101.3081; 0.636; 4.79e-05;  8.83;        22.84;   True;   True;    2; US0002,US0009
20181214075131_Ssdnv; 2458466.827444292139; 2018-12-14 07:51:31.186841;     4;  GEM; 262.006350;  93.584702; 113.17961;  0.5312; +32.46480;  0.1470; 109.74712;  0.4325; +10.60239;  0.2042;  33.91534;  0.2795;  55.60744;  0.1652; +10.65922;  0.2266;  33.73290;  0.3591;    1.335090;  0.0488;   0.889035;  0.0035;  22.946921;  0.3330; 323.618990;   0.5348; 262.002074;   0.0001; 225.621063;  0.5349; -13.371092;    None;   0.148149;  0.0011; 216.386151;  0.5349; 335.848940;  1.4762;    2.522032;  0.0968;   0.638908;  0.0349;   1.542647;  0.0847;   4.325150;  0.1396; 113.69658;  0.5141; +32.39719;  0.1422;  91.72842;  0.7937;  73.11408;  0.3960;  35.79698;  0.2656;  34.72956;  0.2314;    34.573784;  0.0004;  -107.237303;  0.0005;  96.2036;    0.10;    34.574883;  0.0004;  -107.281712;  0.0006;  82.6115;    0.09;     0.45;  +0.09;  87.5683; 0.635; 7.17e-05; 15.08;        55.46;   True;   True;    2; US0002,US0009
20181214081232_JCiEd; 2458466.842040198855; 2018-12-14 08:12:32.273181;     4;  GEM; 262.021196;  98.511330; 115.81064;  1.5170; +32.47374;  0.4940; 111.97320;  1.3747; +10.98382;  0.2693;  33.18098;  0.5272;  55.79958;  0.0701; +11.28758;  0.1593;  32.29572;  0.9459;    1.168242;  0.0857;   0.882904;  0.0018;  24.312968;  0.2810; 326.752686;   2.1032; 262.017444;   0.0001; 228.770130;  2.1031; -13.045661;    None;   0.136796;  0.0082; 213.252122;  2.1031; 330.044048;  3.9225;    2.199688;  0.1634;   0.780558;  0.0946;   1.262699;  0.1367;   4.860263;  0.3404; 116.38707;  1.4654; +32.41792;  0.4830;  94.73672;  0.6321;  74.92958;  1.3172;  35.08643;  0.4995;  34.66533;  0.4856;    34.987797;  0.0002;  -107.575082;  0.0012; 100.3159;    0.13;    34.991678;  0.0006;  -107.632187;  0.0032;  80.6456;    0.29;     0.58;  -0.72;  83.3367; 0.863; 2.71e-04; 16.04;        62.78;   True;   True;    2; US0002,US0009
20181214081910_32zZM; 2458466.846653615590; 2018-12-14 08:19:10.872387;     4;  GEM; 262.025889; 100.545271; 114.73522;  1.1285; +32.26054;  0.5084; 111.09993;  0.8712; +10.61681;  0.6611;  33.50964;  0.7751;  55.83491;  0.7157; +10.82305;  0.6944;  32.87488;  0.8245;    1.229343;  0.0935;   0.886367;  0.0101;  23.422767;  0.8513; 325.714473;   0.7153; 262.021979;   0.0002; 227.736452;  0.7155; -12.939714;    None;   0.139694;  0.0021; 214.290552;  0.7155; 332.476236;  3.6429;    2.318993;  0.1889;   0.723094;  0.0814;   1.363046;  0.1566;   4.646327;  0.3169; 115.40246;  1.0988; +32.20464;  0.4911;  96.10851;  3.4278;  77.39662;  0.7612;  35.38275;  0.7356;  34.26524;  0.5867;    34.452798;  0.0009;  -107.209955;  0.0010;  97.4403;    0.23;    34.456495;  0.0010;  -107.251822;  0.0011;  79.9533;    0.19;     0.57;  -0.30;  86.1449; 0.646; 1.32e-04; 12.56;        55.75;   True;   True;    2; US0002,US0009
20181214082245_ycsyE; 2458466.849142215215; 2018-12-14 08:22:45.887395;     4;  GEM; 262.028420; 101.541081; 114.47980;  0.4874; +32.88164;  0.2043; 110.77718;  0.3800; +11.19270;  0.2672;  33.39512;  0.4434;  55.39261;  0.4247; +11.33203;  0.2687;  32.98634;  0.4313;    1.241977;  0.0594;   0.882107;  0.0057;  24.087737;  0.2269; 324.719635;   0.3248; 262.024699;   0.0000; 226.744334;  0.3248; -13.634646;    None;   0.146420;  0.0014; 215.285247;  0.3248; 332.722725;  1.8247;    2.337534;  0.1202;   0.712088;  0.0419;   1.384112;  0.1035;   4.610460;  0.1716; 115.18690;  0.4769; +32.81413;  0.1973;  94.62968;  1.6495;  78.52599;  0.3316;  35.26564;  0.4217;  34.87766;  0.3216;    34.504477;  0.0007;  -107.111959;  0.0007; 101.6730;    0.22;    34.508468;  0.0005;  -107.171753;  0.0007;  74.2419;    0.13;     0.85;  -0.11;  80.2392; 0.781; 1.96e-04; 14.33;        52.83;   True;   True;    2; US0002,US0009
20181214082826_84Csm; 2458466.853087007068; 2018-12-14 08:28:26.717411;   390;  THA; 262.032432; 102.751657; 116.64872;  0.9969; +33.46223;  0.3859; 112.49816;  0.7798; +12.08242;  0.5162;  31.44842;  0.5679;  53.25034;  0.4880; +12.19439;  0.5472;  31.16080;  0.6542;    1.067039;  0.0700;   0.857599;  0.0076;  24.174704;  0.7151; 326.278873;   0.7682; 262.028784;   0.0002; 228.307657;  0.7683; -13.140850;    None;   0.151948;  0.0009; 213.725977;  0.7683; 324.117761;  2.9509;    1.982131;  0.1403;   0.894198;  0.0649;   1.102228;  0.1159;   5.302220;  0.2474; 117.32903;  0.9716; +33.37528;  0.3710;  91.57898;  3.2200;  77.86240;  0.6962;  33.42969;  0.5376;  31.67371;  0.4965;    34.581605;  0.0004;  -107.325504;  0.0005;  96.8667;    0.10;    34.582137;  0.0005;  -107.348991;  0.0007;  86.7307;    0.12;     0.37;  +0.70;  94.2313; 0.260; 5.08e-05; 15.31;        41.19;   True;   True;    2; US0002,US0009
20181214085824_3PKLA; 2458466.873897452839; 2018-12-14 08:58:24.739925;     4;  GEM; 262.053599; 110.219250; 112.86950;  1.8814; +31.87257;  0.9268; 109.57885;  1.4733;  +9.97609;  1.1505;  33.40081;  1.5607;  54.90816;  1.3419;  +9.94545;  1.1503;  33.49880;  1.6006;    1.304169;  0.3407;   0.884380;  0.0212;  21.025335;  1.4798; 323.553091;   1.3999; 262.049523;   0.0004; 225.602614;  1.4003; -12.306640;    None;   0.150788;  0.0041; 216.452373;  1.4003; 334.781190;  6.3949;    2.457550;  0.6844;   0.661765;  0.1505;   1.489366;  0.6902;   4.426696;  0.6505; 113.84456;  1.8695; +31.87653;  0.8968; 129.73397; 26.2588;  85.99618;  0.4977;  35.21665;  1.4852;  34.44524;  1.3428;    34.489827;  0.0011;  -107.367305;  0.0018;  95.2419;    0.29;    34.493668;  0.0008;  -107.372918;  0.0013;  85.5882;    0.19;     0.28;  +0.80;  89.7658; 0.567; 2.59e-05; 14.77;        67.26;   True;   True;    2; US0002,US0009
20181214090001_5VW79; 2458466.875017026905; 2018-12-14 09:00:01.471125;   390;  THA; 262.054738; 110.694880; 115.90433;  1.2955; +33.46342;  0.5999; 111.87337;  0.9871; +11.97179;  0.7744;  31.37789;  1.3143;  52.84851;  1.5688; +11.95882;  0.7236;  31.40817;  1.1450;    1.087271;  0.1208;   0.855328;  0.0179;  23.466394;  0.5110; 325.343769;   0.7123; 262.051271;   0.0001; 227.395039;  0.7124; -13.087762;    None;   0.157298;  0.0062; 214.661146;  0.7124; 325.057497;  5.4475;    2.017244;  0.2475;   0.869356;  0.1136;   1.133724;  0.2004;   5.220982;  0.4405; 116.85264;  1.2827; +33.40977;  0.5762; 100.46982; 13.8540;  84.77557;  0.7390;  33.31601;  1.2433;  32.65479;  0.8339;    34.514435;  0.0009;  -107.297015;  0.0014;  97.4749;    0.26;    34.516381;  0.0007;  -107.309767;  0.0012;  84.3063;    0.19;     0.44;  +0.53;  93.2822; 0.318; 6.68e-05; 14.33;        58.20;   True;   True;    2; US0002,US0009
20181214094437_7eIuo; 2458466.905995338690; 2018-12-14 09:44:37.997263;    -1;  ...; 262.086247; 122.060520; 114.68030;  0.5948; +34.19656;  1.1498; 110.71832;  0.2755; +12.51695;  1.2161;  33.13534;  0.5806;  54.77902;  0.9625; +12.58463;  1.1427;  32.95693;  0.3440;    1.238576;  0.0325;   0.873195;  0.0119;  25.950602;  1.5954; 323.417154;   0.6351; 262.083755;   0.0003; 225.500909;  0.6349; -15.117565;    None;   0.157057;  0.0090; 216.587158;  0.6349; 332.222587;  1.9941;    2.320094;  0.0726;   0.715024;  0.0343;   1.378429;  0.0522;   4.629392;  0.1360; 115.93966;  0.6048; +34.20143;  1.1103; 268.83641; 13.0722;  84.93965;  0.2015;  34.90697;  0.5473;  35.12780;  1.0454;    34.456903;  0.0019;  -107.112981;  0.0017; 104.6025;    0.56;    34.457304;  0.0020;  -107.089001;  0.0017;  79.4111;    0.45;     0.73;  -0.12;  83.3250; 0.845; 1.41e-04;  6.74;        71.23;   True;   True;    2; US0002,US0009
