# Summary generated on 2023-06-16 05:42:53.122204 UTC
#  Unique trajectory;      Beginning      ;        Beginning          ;   IAU;  IAU;   Sol lon ;   App LST ;   RAgeo  ;   +/-  ;   DECgeo ;   +/-  ;  LAMgeo  ;   +/-  ;   BETgeo ;   +/-  ;    Vgeo  ;    +/- ;  LAMhel  ;   +/-  ;   BEThel ;   +/-  ;    Vhel  ;    +/- ;       a    ;   +/-  ;      e    ;   +/-  ;      i    ;   +/-  ;    peri   ;    +/-  ;    node   ;    +/-  ;     Pi    ;   +/-  ;      b    ;   +/-  ;      q    ;   +/-  ;      f    ;   +/-  ;      M    ;   +/-  ;       Q    ;   +/-  ;      n    ;   +/-  ;      T    ;   +/-  ; TisserandJ;   +/-  ;   RAapp  ;   +/-  ;   DECapp ;   +/-  ;  Azim +E ;   +/-  ;    Elev  ;   +/-  ;   Vinit  ;    +/- ;    Vavg  ;    +/- ;    LatBeg   ;   +/-  ;    LonBeg   ;   +/-  ;   HtBeg ;   +/-  ;    LatEnd   ;   +/-  ;    LonEnd   ;   +/-  ;   HtEnd ;   +/-  ; Duration;  Peak ;  Peak Ht;   F  ;  Mass kg;   Qc ; MedianFitErr; Beg in; End in;  Num;      Participating    
#      identifier   ;     Julian date     ;         UTC Time          ;    No; code;     deg   ;     deg   ;    deg   ;  sigma ;    deg   ;  sigma ;    deg   ;  sigma ;     deg  ;  sigma ;    km/s  ;   sigma;    deg   ;  sigma ;     deg  ;  sigma ;    km/s  ;   sigma;      AU    ;  sigma ;           ;  sigma ;    deg    ;  sigma ;     deg   ;   sigma ;     deg   ;   sigma ;    deg    ;  sigma ;    deg    ;  sigma ;     AU    ;  sigma ;    deg    ;  sigma ;     deg   ;  sigma ;      AU    ;  sigma ;   deg/day ;  sigma ;    years  ;  sigma ;           ;  sigma ;    deg   ;  sigma ;    deg   ;  sigma ; of N  deg;  sigma ;     deg  ;  sigma ;    km/s  ;   sigma;    km/s  ;   sigma;    +N deg   ;  sigma ;    +E deg   ;  sigma ;     km  ;  sigma ;    +N deg   ;  sigma ;    +E deg   ;  sigma ;     km  ;  sigma ;   sec   ; AbsMag;     km  ; param; tau=0.7%;  deg ;    arcsec   ;   FOV ;   FOV ; stat;         stations      
# ------------------; --------------------; --------------------------; -----; ----; ----------; ----------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; -----------; -------; ----------; -------; ----------; -------; ----------; --------; ----------; --------; ----------; -------; ----------; -------; ----------; -------; ----------; -------; ----------; -------; -----------; -------; ----------; -------; ----------; -------; ----------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ------------; -------; ------------; -------; --------; -------; ------------; -------; ------------; -------; --------; -------; --------; ------; --------; -----; --------; -----; ------------; ------; ------; ----; ----------------------
20181212005600_JvhT6; 2458464.538893520832; 2018-12-12 00:56:00.400200;    -1;  ...; 259.678979; 347.554267;  51.85204;  0.3420;  +2.68765;  0.0704;  50.15531;  0.3349; -15.63051;  0.1316;  12.19092;  0.0372;   5.80728;  0.0481;  -5.00502;  0.0395;  37.65932;  0.0728;    2.311815;  0.0358;   0.617197;  0.0051;   5.208721;  0.0420;  42.697915;   0.3260;  79.688676;   0.0001; 122.386591;  0.3259;   3.529574;    None;   0.884969;  0.0010; 317.290378;  0.3259; 351.443136;  0.2434;    3.738661;  0.0707;   0.280398;  0.0059;   3.515039;  0.0833;   3.295637;  0.0301;  45.07898;  0.2723;  +8.17095;  0.0562; 102.40538;  0.2032;  31.23784;  0.2209;  16.82000;  0.0275;  15.59272;  0.0111;    34.475198;  0.0002;  -107.129078;  0.0002;  82.3612;    0.04;    34.500024;  0.0002;  -107.266074;  0.0003;  74.4798;    0.04;     0.97;  +1.28;  77.1330; 0.663; 2.18e-04; 13.35;        40.12;   True;   True;    2; US0002,US0009
20181212020538_T2WlP; 2458464.587253132369; 2018-12-12 02:05:38.670637;     4;  GEM; 259.728150;   5.390184; 111.78967;  0.1814; +32.89333;  0.2815; 108.50324;  0.1963; +10.84462;  0.2558;  33.49068;  0.0715;  53.31770;  0.0771; +10.99737;  0.2350;  33.02649;  0.1414;    1.247360;  0.0158;   0.884903;  0.0007;  23.604093;  0.4198; 325.036408;   0.4844; 259.723348;   0.0001; 224.759756;  0.4843; -13.265273;    None;   0.143568;  0.0025; 214.966783;  0.4843; 333.014016;  0.5271;    2.351152;  0.0293;   0.707484;  0.0140;   1.393120;  0.0263;   4.590130;  0.0523; 109.48995;  0.1694; +34.05738;  0.2630;  54.49903;  0.1313;   9.25075;  0.2714;  35.59064;  0.0678;  35.28778;  0.0447;    35.485909;  0.0004;  -106.750486;  0.0001; 100.1244;    0.12;    35.247565;  0.0006;  -107.156773;  0.0006;  92.7736;    0.16;     1.33;  +1.23;  94.4194; 0.776; 5.21e-05; 16.97;        86.92;   True;   True;    2; US0007,US0008
20181212024248_g3EFF; 2458464.613064484205; 2018-12-12 02:42:48.771435;   638;  DZT; 259.754395;  15.103112;  86.72872;  0.1109; +17.32325;  0.1951;  86.85958;  0.1026;  -6.07879;  0.1972;  25.41787;  0.0750;  32.74215;  0.0688;  -4.15263;  0.1306;  37.18267;  0.0784;    2.115239;  0.0283;   0.784898;  0.0029;   5.667123;  0.1711; 102.884219;   0.1731;  79.766851;   0.0004; 182.651069;  0.1727;   5.523991;    None;   0.454993;  0.0004; 257.101495;  0.1728; 345.853159;  0.3350;    3.775486;  0.0565;   0.320380;  0.0067;   3.076379;  0.0612;   3.246565;  0.0332;  84.57070;  0.0920; +18.66177;  0.1764;  85.67568;  0.1259;  27.15553;  0.1639;  28.07660;  0.0687;  27.34465;  0.0604;    35.555001;  0.0003;  -106.369351;  0.0002;  98.4954;    0.07;    35.535701;  0.0003;  -106.675128;  0.0000;  84.1092;    0.06;     1.20;  +1.01;  88.9359; 0.664; 1.40e-04; 23.27;        59.74;   True;   True;    2; US0007,US0008
20181212025546_jfcd5; 2458464.622064150404; 2018-12-12 02:55:46.342595;    -1;  ...; 259.763545;  18.034719;  53.27741;  0.6072; +27.35535;  1.7315;  57.57205;  0.1871;  +7.95719;  1.8079;  12.98936;  0.5493;   8.80189;  0.5936;  +2.77015;  0.6521;  37.18815;  0.3630;    2.117297;  0.1129;   0.601640;  0.0274;   2.930700;  0.6921; 231.837656;   0.2330; 259.733517;   0.0340; 131.571172;  0.2203;  -2.303918;    None;   0.843446;  0.0039; 308.190702;  0.2203; 348.542273;  1.3639;    3.391149;  0.2295;   0.319913;  0.0319;   3.080871;  0.2361;   3.475614;  0.1498;  50.81972;  0.3545; +28.58168;  1.3843;  95.03234;  2.3182;  61.48817;  0.8767;  17.27656;  0.4056;  16.88073;  0.2832;    35.672501;  0.0007;  -106.672383;  0.0001;  78.1636;    0.11;    35.675416;  0.0007;  -106.713155;  0.0001;  71.2866;    0.10;     0.48;  +0.95;  75.7905; 0.345; 2.03e-04; 17.31;        57.45;   True;   True;    2; US0007,US0008
20181212030712_Byhmg; 2458464.630003820639; 2018-12-12 03:07:12.330103;    -1;  ...; 259.771618;  20.948710;  63.58067;  1.3434; +53.15675;  1.0209;  71.79040;  0.7425; +31.37629;  1.1422;  11.49481;  0.7960;   7.19791;  0.8707; +10.23613;  0.9023;  33.67353;  0.4141;    1.327954;  0.0504;   0.384581;  0.0278;  10.717933;  0.9829; 247.179533;   1.6787; 259.762076;   0.0009; 146.941609;  1.6779;  -9.870214;    None;   0.817248;  0.0045; 292.828486;  1.6779; 328.553885;  3.3397;    1.838659;  0.1038;   0.644066;  0.0407;   1.530294;  0.0854;   4.835324;  0.1565;  57.85966;  0.6859; +51.16681;  0.9636;  47.75410;  1.9601;  59.42101;  0.3467;  16.12889;  0.5525;  15.05650;  0.5015;    35.565995;  0.0012;  -106.625383;  0.0002;  83.9649;    0.20;    35.541056;  0.0009;  -106.659194;  0.0001;  76.9172;    0.13;     0.56;  +1.77;  79.9339; 0.572; 8.58e-05; 45.86;        98.60;   True;   True;    2; US0007,US0008
20181212031156_KNHWk; 2458464.633287462872; 2018-12-12 03:11:56.036792;    -1;  ...; 259.774958;  22.227508; 340.65797;  3.8682; +81.32141;  0.5360;  67.71151;  0.9999; +67.95148;  0.7220;  19.44162;  0.4986;   2.78415;  0.5594; +28.91838;  0.2245;  37.26276;  0.4572;    2.145754;  0.3016;   0.565929;  0.0373;  29.553704;  0.2895; 211.744194;   0.3267; 259.770651;   0.0000; 111.514845;  0.3267; -15.040800;    None;   0.931410;  0.0023; 328.258866;  0.3267; 352.468283;  0.9113;    3.360098;  0.6050;   0.313570;  0.0357;   3.143188;  0.7642;   3.346408;  0.1987; 357.93551;  2.1797; +79.27091;  0.4989; 353.77047;  0.3901;  45.10693;  0.6089;  22.35587;  0.4387;  21.84677;  0.5157;    35.468598;  0.0004;  -106.529764;  0.0004;  94.6581;    0.15;    35.406950;  0.0008;  -106.521669;  0.0003;  87.6618;    0.18;     0.53;  +1.52;  90.2246; 0.634; 5.52e-05; 42.45;        89.21;   True;   True;    2; US0007,US0008
20181212033118_eMXZl; 2458464.646743813995; 2018-12-12 03:31:18.665529;    -1;  ...; 259.788640;  26.485871; 113.42366;  0.4126; +31.74080;  0.0869; 110.07216;  0.3645;  +9.92075;  0.0365;  33.91700;  0.0234;  55.02036;  0.2446; +10.34723;  0.0346;  32.52846;  0.1630;    1.192623;  0.0183;   0.896683;  0.0011;  23.552253;  0.2432; 328.272325;   0.6137; 259.783377;   0.0000; 228.055702;  0.6138; -12.130258;    None;   0.123218;  0.0033; 211.731685;  0.6138; 331.610119;  0.5794;    2.262028;  0.0333;   0.756745;  0.0161;   1.302433;  0.0304;   4.752233;  0.0573; 111.71809;  0.4010; +32.31550;  0.0767;  64.53064;  0.1029;  21.11619;  0.3365;  36.01457;  0.0222;  35.73444;  0.0554;    34.434947;  0.0004;  -107.143128;  0.0003;  99.8674;    0.08;    34.326427;  0.0005;  -107.416957;  0.0006;  89.0014;    0.09;     0.89;  +0.38;  90.9966; 0.816; 1.15e-04;  9.53;        26.54;   True;   True;    2; US0002,US0009
20181212034307_tqfh7; 2458464.654943112750; 2018-12-12 03:43:07.084942;    -1;  ...; 259.796977;  29.245297; 112.25876;  0.2310; +30.93552;  0.3285; 109.20374;  0.2492;  +8.96968;  0.2946;  32.91516;  0.0451;  53.19042;  0.2440;  +9.13542;  0.2634;  32.31741;  0.1038;    1.171077;  0.0101;   0.885932;  0.0022;  19.754852;  0.3964; 327.139876;   0.5832; 259.791023;   0.0001; 226.930899;  0.5831; -10.567482;    None;   0.133582;  0.0036; 212.864852;  0.5831; 330.286476;  0.3123;    2.208573;  0.0165;   0.777725;  0.0103;   1.267299;  0.0162;   4.858137;  0.0347; 110.61672;  0.2298; +31.51387;  0.3161;  67.36779;  0.2085;  24.05068;  0.3240;  35.05978;  0.0428;  34.12381;  0.0175;    35.478095;  0.0003;  -107.338360;  0.0004; 101.2652;    0.06;    35.368603;  0.0003;  -107.657748;  0.0015;  87.1158;    0.12;     1.04;  -1.49;  88.7191; 0.887; 7.11e-04; 16.87;        36.76;   True;  False;    2; US0007,US0008
20181212042612_Mebs7; 2458464.684870910831; 2018-12-12 04:26:12.846696;   633;  PTS; 259.827407;  41.041316;  82.93897;  0.3414; +25.00228;  0.0906;  83.60066;  0.3070;  +1.72129;  0.1004;  21.81743;  0.3892;  27.14115;  0.4112;  +1.03474;  0.0663;  36.24125;  0.3117;    1.815965;  0.0844;   0.707063;  0.0141;   1.302306;  0.0879; 276.389166;   0.6110; 259.748831;   0.0066; 176.137997;  0.6057;  -1.294216;    None;   0.531963;  0.0012; 263.688208;  0.6057; 341.224058;  1.5363;    3.099967;  0.1699;   0.402757;  0.0279;   2.447157;  0.1711;   3.701066;  0.1299;  81.87353;  0.2687; +25.63936;  0.0726;  93.44564;  0.1734;  53.80516;  0.2251;  24.70644;  0.3467;  24.54643;  0.2518;    34.907125;  0.0002;  -106.338590;  0.0005;  95.7417;    0.13;    34.911765;  0.0001;  -106.432863;  0.0002;  83.7968;    0.06;     0.60;  +2.72;  90.2925; 0.456; 2.27e-05; 54.10;        77.22;   True;   True;    2; US0002,US0008
20181212042645_LGeIT; 2458464.685246010777; 2018-12-12 04:26:45.255331;    -1;  ...; 259.827788;  40.348272;   7.64067;  0.5302; -18.56380;  1.1221; 359.33010;  0.8170; -20.01261;  0.9638;   6.37951;  0.1634; 351.71928;  0.1539;  -3.45408;  0.0869;  36.25172;  0.1752;    1.818787;  0.0415;   0.459567;  0.0140;   3.455907;  0.0868;   5.974593;   0.4120;  79.855334;   0.0007;  85.829927;  0.4122;   0.359501;    None;   0.982933;  0.0002; 353.996579;  0.4122; 358.023482;  0.0984;    2.654641;  0.0833;   0.401820;  0.0160;   2.452864;  0.0816;   3.909569;  0.0686;  17.42890;  0.3386;  -4.42093;  0.5667; 213.18691;  0.5680;  44.81818;  0.4195;  12.66602;  0.0772;  11.84913;  0.0594;    35.306409;  0.0012;  -107.166621;  0.0011;  75.5720;    0.17;    35.500058;  0.0010;  -107.012987;  0.0012;  49.8520;    0.18;     3.21;  +0.58;  66.9932; 0.334; 3.16e-03;  5.55;        92.65;   True;   True;    2; US0007,US0008
